conduit,from-to,slope,D_m,length_m,V_mean_dry,V_p10_dry,Q_mean_Ls,Q_max_Ls,tau_full_Pa
G71F030_G71F020_l1,,0.00415,0.5,62.7,0.472,0.332,5.64,9.91,5.09
G72F070_G72K060_l1,,0.00594,1.6875,20.0,0.495,0.334,3.62,5.16,0.0
G72F060_G72K050_l1,,0.00524,1.6875,32.5,0.516,0.347,3.7,5.26,0.0
G60F030_G60F020_l1,,0.00208,0.5,62.4,0.476,0.352,9.99,17.15,2.55
G71F265_G71F070_l2,,0.00369,0.277,8.1,0.522,0.36,5.46,7.33,2.51
G60F040_G60F030_l1,,0.00431,0.5,69.6,0.501,0.369,10.02,17.16,5.29
G60F020_G60F010_l1,,0.00316,0.5,50.7,0.512,0.37,9.97,17.15,3.87
G72F040_G72F030_l1,,0.0063,1.6875,103.2,0.546,0.37,3.93,5.54,0.0
G72F050_G72F040_l1,,0.0068,1.6875,20.6,0.552,0.376,3.92,5.52,0.0
G72K050_G72F050_l1,,0.00661,1.6875,22.7,0.554,0.376,3.78,5.36,0.0
G72F100_G72F095_l1,,0.00809,1.35,51.9,0.514,0.382,3.2,4.68,0.0
G60F060_G60F040_l1,,0.0027,0.5,70.4,0.528,0.389,10.04,17.16,3.31
G73F050_G73K040_l1,,0.01425,1.0,5.5,0.509,0.394,2.07,3.45,34.96
G60F070_G60F060_l1,,0.00521,0.5,65.3,0.544,0.401,10.07,17.16,6.38
G72K100_G72F100_l1,,0.00596,1.29375,52.2,0.538,0.411,3.2,4.68,0.0
G72F110_G72K100_l1,,0.00628,1.29375,33.4,0.508,0.413,3.16,4.63,0.0
F74F445_F74F440_l1,,0.00895,0.5,21.2,0.563,0.422,9.95,17.15,10.97
G72F120_G72F110_l1,,0.00728,1.29375,57.7,0.522,0.424,3.13,4.59,0.0
G60F230_G60F60Y_l1,,0.0154,0.7,59.1,0.581,0.486,2.13,3.86,26.43
G72F090_G72F080_l1,,0.00652,1.35,59.9,0.594,0.575,3.6,5.12,0.0
